loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,title,inq_last_6mths,revol_bal,total_pymnt,total_rec_late_fee,last_pymnt_amnt,acc_open_past_24mths,delinq_amnt,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,loan_condition
2500, 36 months,13.56,84.92,C,C1,10+ years,RENT,55000,Debt consolidation,1,4341,167.02,0,84.92,9,0,0,60124,16901,36500,18124,1
30000, 60 months,18.94,777.23,D,D2,10+ years,MORTGAGE,90000,Debt consolidation,0,12315,1507.11,0,777.23,10,0,0,372872,99468,15000,94072,1
5000, 36 months,17.97,180.69,D,D1,6 years,MORTGAGE,59280,Debt consolidation,0,4599,353.89,0,180.69,4,0,0,136927,11749,13800,10000,1
4000, 36 months,18.94,146.51,D,D2,10+ years,MORTGAGE,92000,Debt consolidation,0,5468,286.71,0,146.51,5,0,0,385183,36151,5000,44984,1
30000, 60 months,16.14,731.78,C,C4,10+ years,MORTGAGE,57250,Debt consolidation,0,829,1423.21,0,731.78,9,0,0,157548,29674,9300,32332,1
5550, 36 months,15.02,192.45,C,C3,10+ years,MORTGAGE,152500,Credit card refinancing,3,53854,377.95,0,192.45,8,0,0,831687,185378,65900,203159,1
2000, 36 months,17.97,72.28,D,D1,4 years,RENT,51000,Debt consolidation,1,0,141.56,0,72.28,4,0,0,854,854,0,0,1
6000, 36 months,13.56,203.79,C,C1,10+ years,RENT,65000,Credit card refinancing,0,38476,201.53,0,208.31,3,0,0,117242,91535,33100,61742,1
5000, 36 months,17.97,180.69,D,D1,10+ years,MORTGAGE,53580,Debt consolidation,1,8018,353.89,0,180.69,12,0,0,57426,41882,21500,34626,1
6000, 36 months,14.47,206.44,C,C2,< 1 year,OWN,300000,Debt consolidation,1,65950,405.64,0,206.44,15,0,0,477390,105911,98300,89600,1
5500, 36 months,22.35,211.05,D,D5,< 1 year,MORTGAGE,50000,Credit card refinancing,0,4529,411.86,0,211.05,3,0,0,243452,18185,4800,15649,1
28000, 60 months,11.31,613.13,B,B3,2 years,MORTGAGE,70000,Credit card refinancing,1,56152,1199.87,0,613.13,2,0,0,259435,65636,100400,17535,1
11200, 36 months,8.19,351.95,A,A4,10+ years,MORTGAGE,65000,Credit card refinancing,0,8836,696.26,0,351.95,3,0,0,345654,78795,34900,114578,1
6500, 36 months,17.97,234.9,D,D1,4 years,MORTGAGE,154000,Debt consolidation,0,23754,460.07,0,234.9,11,0,0,169160,116747,12300,129860,1
22000, 60 months,12.98,500.35,B,B5,10+ years,MORTGAGE,65000,Debt consolidation,0,134,976.9,0,500.35,2,0,0,71932,22337,27200,38535,1
3500, 36 months,16.14,123.3,C,C4,10+ years,MORTGAGE,80000,Debt consolidation,0,8952,218.36,0,123.3,4,0,0,42328,16085,8000,27028,1
7000, 36 months,12.98,235.8,B,B5,4 years,MORTGAGE,102500,Home buying,0,1057,464.03,0,235.8,3,0,0,214624,76709,7200,96826,1
25000, 60 months,16.91,620.11,C,C5,10+ years,MORTGAGE,23878,Debt consolidation,0,3044,1204.99,0,620.11,0,0,0,92334,3044,1000,0,1
16000, 60 months,20.89,431.87,D,D4,4 years,MORTGAGE,120000,Credit card refinancing,0,18826,835.89,0,431.87,5,0,0,444217,266754,13500,239338,1
13000, 60 months,14.47,305.67,C,C2,10+ years,MORTGAGE,75000,Debt consolidation,1,15551,595.66,0,305.67,4,0,0,176598,50920,26700,50898,1
10000, 36 months,13.56,339.65,C,C1,< 1 year,MORTGAGE,65000,Credit card refinancing,1,9765,668,0,339.65,4,0,0,48052,45972,11500,34852,1
13000, 36 months,14.47,447.29,C,C2,10+ years,MORTGAGE,55000,Credit card refinancing,0,13478,878.9,0,447.29,4,0,0,41150,13878,13900,1000,1
