,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,title,inq_last_6mths,revol_bal,total_pymnt,total_rec_late_fee,last_pymnt_amnt,acc_open_past_24mths,delinq_amnt,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,total_il_high_credit_limit,loan_condition
0,2500, 36 months,13.56,84.92,C,C1,10+ years,RENT,55000.0,Debt consolidation,1.0,4341,167.02,0.0,84.92,9.0,0.0,0.0,60124.0,16901.0,36500.0,18124.0,18124.0,1
1,30000, 60 months,18.94,777.23,D,D2,10+ years,MORTGAGE,90000.0,Debt consolidation,0.0,12315,1507.11,0.0,777.23,10.0,0.0,0.0,372872.0,99468.0,15000.0,94072.0,94072.0,1
2,5000, 36 months,17.97,180.69,D,D1,6 years,MORTGAGE,59280.0,Debt consolidation,0.0,4599,353.89,0.0,180.69,4.0,0.0,0.0,136927.0,11749.0,13800.0,10000.0,10000.0,1
3,4000, 36 months,18.94,146.51,D,D2,10+ years,MORTGAGE,92000.0,Debt consolidation,0.0,5468,286.71,0.0,146.51,5.0,0.0,0.0,385183.0,36151.0,5000.0,44984.0,44984.0,1
4,30000, 60 months,16.14,731.78,C,C4,10+ years,MORTGAGE,57250.0,Debt consolidation,0.0,829,1423.21,0.0,731.78,9.0,0.0,0.0,157548.0,29674.0,9300.0,32332.0,32332.0,1
5,5550, 36 months,15.02,192.45,C,C3,10+ years,MORTGAGE,152500.0,Credit card refinancing,3.0,53854,377.95,0.0,192.45,8.0,0.0,0.0,831687.0,185378.0,65900.0,203159.0,203159.0,1
6,2000, 36 months,17.97,72.28,D,D1,4 years,RENT,51000.0,Debt consolidation,1.0,0,141.56,0.0,72.28,4.0,0.0,0.0,854.0,854.0,0.0,0.0,0.0,1
7,6000, 36 months,13.56,203.79,C,C1,10+ years,RENT,65000.0,Credit card refinancing,0.0,38476,201.53,0.0,208.31,3.0,0.0,0.0,117242.0,91535.0,33100.0,61742.0,61742.0,1
8,5000, 36 months,17.97,180.69,D,D1,10+ years,MORTGAGE,53580.0,Debt consolidation,1.0,8018,353.89,0.0,180.69,12.0,0.0,0.0,57426.0,41882.0,21500.0,34626.0,34626.0,1
9,6000, 36 months,14.47,206.44,C,C2,< 1 year,OWN,300000.0,Debt consolidation,1.0,65950,405.64,0.0,206.44,15.0,0.0,0.0,477390.0,105911.0,98300.0,89600.0,89600.0,1
10,5500, 36 months,22.35,211.05,D,D5,< 1 year,MORTGAGE,50000.0,Credit card refinancing,0.0,4529,411.86,0.0,211.05,3.0,0.0,0.0,243452.0,18185.0,4800.0,15649.0,15649.0,1
11,28000, 60 months,11.31,613.13,B,B3,2 years,MORTGAGE,70000.0,Credit card refinancing,1.0,56152,1199.87,0.0,613.13,2.0,0.0,0.0,259435.0,65636.0,100400.0,17535.0,17535.0,1
12,11200, 36 months,8.19,351.95,A,A4,10+ years,MORTGAGE,65000.0,Credit card refinancing,0.0,8836,696.26,0.0,351.95,3.0,0.0,0.0,345654.0,78795.0,34900.0,114578.0,114578.0,1
13,6500, 36 months,17.97,234.9,D,D1,4 years,MORTGAGE,154000.0,Debt consolidation,0.0,23754,460.07,0.0,234.9,11.0,0.0,0.0,169160.0,116747.0,12300.0,129860.0,129860.0,1
14,22000, 60 months,12.98,500.35,B,B5,10+ years,MORTGAGE,65000.0,Debt consolidation,0.0,134,976.9,0.0,500.35,2.0,0.0,0.0,71932.0,22337.0,27200.0,38535.0,38535.0,1
15,3500, 36 months,16.14,123.3,C,C4,10+ years,MORTGAGE,80000.0,Debt consolidation,0.0,8952,218.36,0.0,123.3,4.0,0.0,0.0,42328.0,16085.0,8000.0,27028.0,27028.0,1
16,7000, 36 months,12.98,235.8,B,B5,4 years,MORTGAGE,102500.0,Home buying,0.0,1057,464.03,0.0,235.8,3.0,0.0,0.0,214624.0,76709.0,7200.0,96826.0,96826.0,1
17,25000, 60 months,16.91,620.11,C,C5,10+ years,MORTGAGE,23878.0,Debt consolidation,0.0,3044,1204.99,0.0,620.11,0.0,0.0,0.0,92334.0,3044.0,1000.0,0.0,0.0,1
18,16000, 60 months,20.89,431.87,D,D4,4 years,MORTGAGE,120000.0,Credit card refinancing,0.0,18826,835.89,0.0,431.87,5.0,0.0,0.0,444217.0,266754.0,13500.0,239338.0,239338.0,1
19,13000, 60 months,14.47,305.67,C,C2,10+ years,MORTGAGE,75000.0,Debt consolidation,1.0,15551,595.66,0.0,305.67,4.0,0.0,0.0,176598.0,50920.0,26700.0,50898.0,50898.0,1
20,10000, 36 months,13.56,339.65,C,C1,< 1 year,MORTGAGE,65000.0,Credit card refinancing,1.0,9765,668.0,0.0,339.65,4.0,0.0,0.0,48052.0,45972.0,11500.0,34852.0,34852.0,1
21,13000, 36 months,14.47,447.29,C,C2,10+ years,MORTGAGE,55000.0,Credit card refinancing,0.0,13478,878.9,0.0,447.29,4.0,0.0,0.0,41150.0,13878.0,13900.0,1000.0,1000.0,1
22,9600, 36 months,23.4,373.62,E,E1,9 years,RENT,65000.0,Credit card refinancing,0.0,10678,728.52,0.0,373.62,1.0,0.0,0.0,68902.0,24165.0,7600.0,40402.0,40402.0,1
23,3500, 36 months,20.89,131.67,D,D4,10+ years,MORTGAGE,40000.0,Car financing,1.0,1944,257.25,0.0,131.67,3.0,0.0,0.0,217000.0,26902.0,5000.0,25000.0,25000.0,1
24,16000, 60 months,26.31,481.99,E,E4,< 1 year,RENT,33000.0,Credit card refinancing,1.0,22872,928.9,0.0,481.99,2.0,0.0,0.0,45709.0,29869.0,13900.0,10809.0,10809.0,1
